IdProducto;DescripcionLarga;Clase ;Talla ;Color ;PrecioCosto;PrecioPublico1;Fracción ;Fab/Marca;IdProducto2;Cod Color; Vigencia Inicial;Grupo Destino
10923;PIN DE CARGA PARA PUNTA V3 PARA ALCATEL;;;;5950;20000;;;10923;;;______________________
11758;PIN DE CARGA POP C7;;;;3000;10000;;;11758;;;______________________
11357;PIN DE CARGA SAMSUNG;;;;1190;15000;;;11357;;;______________________
11845;TACTIL CELULAR SONY XPERIA E4G;;;;40000;55000;;;11845;;;______________________
11268;TACTIL CELULAR SONY XPERIA L;;;;21420;60000;;;11268;;;______________________
11330;TACTIL LANIX X110;;;;21420;60000;;;11330;;;______________________
11478;TACTIL MOTOROLA C;;;;29750;60000;;;11478;;;______________________
10726;TACTIL PARA CELULAR  BLU  JR;;;;47600;60000;;;10726;;;______________________
10722;TACTIL PARA CELULAR  B-MOBILE  AX535;;;;47600;50000;;;10722;;;______________________
10723;TACTIL PARA CELULAR  B-MOBILE  AX620;;;;47600;60000;;;10723;;;______________________
10724;TACTIL PARA CELULAR  B-MOBILE  AX650;;;;30000;50000;;;10724;;;______________________
10725;TACTIL PARA CELULAR  B-MOBILE  AX710;;;;47600;65000;;;10725;;;______________________
10740;TACTIL PARA CELULAR  HUAWEI  G510;;;;47600;60000;;;10740;;;______________________
10747;TACTIL PARA CELULAR  HUAWEI  G630;;;;47600;65000;;;10747;;;______________________
10751;TACTIL PARA CELULAR  HUAWEI  G730;;;;59500;70000;;;10751;;;______________________
10738;TACTIL PARA CELULAR  HUAWEI  Y210;;;;47600;60000;;;10738;;;______________________
10739;TACTIL PARA CELULAR  HUAWEI  Y220;;;;47600;60000;;;10739;;;______________________
10750;TACTIL PARA CELULAR  HUAWEI  Y3 II 4G;;;;35000;60000;;;10750;;;______________________
10737;TACTIL PARA CELULAR  HUAWEI  Y320;;;;47600;60000;;;10737;;;______________________
10736;TACTIL PARA CELULAR  HUAWEI  Y330;;;;47600;60000;;;10736;;;______________________
10735;TACTIL PARA CELULAR  HUAWEI  Y360;;;;47600;60000;;;10735;;;______________________
10743;TACTIL PARA CELULAR  HUAWEI  Y3-II;;;;47600;60000;;;10743;;;______________________
10744;TACTIL PARA CELULAR  HUAWEI  Y511;;;;11900;55000;;;10744;;;______________________
10749;TACTIL PARA CELULAR  HUAWEI  Y520;;;;30000;60000;;;10749;;;______________________
10748;TACTIL PARA CELULAR  HUAWEI  Y530;;;;47600;60000;;;10748;;;______________________
10746;TACTIL PARA CELULAR  HUAWEI  Y600;;;;47600;65000;;;10746;;;______________________
10745;TACTIL PARA CELULAR  HUAWEI  Y635;;;;47600;60000;;;10745;;;______________________
10763;TACTIL PARA CELULAR  LANIX  LT500;;;;59500;80000;;;10763;;;______________________
10755;TACTIL PARA CELULAR  LANIX  S106;;;;47600;55000;;;10755;;;______________________
10754;TACTIL PARA CELULAR  LANIX  S120;;;;47600;60000;;;10754;;;______________________
10756;TACTIL PARA CELULAR  LANIX  S130;;;;47600;60000;;;10756;;;______________________
10758;TACTIL PARA CELULAR  LANIX  S220;;;;47600;60000;;;10758;;;______________________
10762;TACTIL PARA CELULAR  LANIX  S520;;;;47600;60000;;;10762;;;______________________
10757;TACTIL PARA CELULAR  LANIX  X200;;;;47600;60000;;;10757;;;______________________
10753;TACTIL PARA CELULAR  LANIX  X210;;;;47600;60000;;;10753;;;______________________
10759;TACTIL PARA CELULAR  LANIX  X250;;;;47600;50000;;;10759;;;______________________
10760;TACTIL PARA CELULAR  LANIX  X400;;;;47600;60000;;;10760;;;______________________
10761;TACTIL PARA CELULAR  LANIX  X500;;;;53550;70000;;;10761;;;______________________
10730;TACTIL PARA CELULAR  LG  375;;;;41650;50000;;;10730;;;______________________
10733;TACTIL PARA CELULAR  LG  800;;;;47600;60000;;;10733;;;______________________
10729;TACTIL PARA CELULAR  LG  E450;;;;47600;60000;;;10729;;;______________________
10731;TACTIL PARA CELULAR  LG  E610;;;;47600;60000;;;10731;;;______________________
10732;TACTIL PARA CELULAR  LG  L7;;;;47600;60000;;;10732;;;______________________
10728;TACTIL PARA CELULAR  LG  X20;;;;47600;60000;;;10728;;;______________________
10765;TACTIL PARA CELULAR  MOTOROLA MOTO  G2;;;;47600;70000;;;10765;;;______________________
10767;TACTIL PARA CELULAR  NOKIA   LUMIA  535;;;;20000;58000;;;10767;;;______________________
10766;TACTIL PARA CELULAR  NOKIA LUMIA 520;;;;40000;60000;;;10766;;;______________________
10727;TACTIL PARA CELULAR  ZTE BLADE L2;;;;47600;60000;;;10727;;;______________________
